2008|39|1158|23178
2008|30|14676|30634
2011|40|4921|18833
2009|28|11764|31860
2013|38|3896|25017
2006|13|2422|24993
2008|13|7529|19322
2008|11|8350|29800
2010|15|11311|28623
2005|11|8599|26659
2008|10|13791|25767
2011|8|998|29209
2011|8|5073|15889
2011|8|12413|25396
2012|14|2507|11096
2008|8|11629|18956
2009|7|3689|26755
2012|9|14809|20058
2012|10|982|10995
2008|6|7259|24396
2013|7|2257|31396
2010|6|4391|25556
2011|8|6113|22497
2008|6|12149|28213
2011|4|4041|22835
2006|4|10423|29936
2012|5|2375|18231
2009|4|5185|30330
2013|9|8555|14026
2012|3|7915|21569
2006|3|3893|14070
2013|3|10464|26235
2011|3|5082|30118
2014|5|12769|32091
2012|3|5791|14025
2012|2|10083|31110
2012|1|9214|24303
2013|2|12734|13050
2013|2|8412|27457
2013|1|12610|21648
2013|10|5574|23185
2013|1|13573|31809
2013|5|1218|9919
2014|1|1835|15327
2014|0|24377|29862
2014|0|24377|15793
2013|0|24377|31234
2015|0|24377|17008
None|0|24377|12977
None|0|24377|15539
None|0|24377|22213
2014|0|24377|17387
2014|0|24377|26588
2014|0|24377|30912
2015|0|24377|20918
2006|0|24377|16472
2012|0|24377|28452
2015|0|24377|24142
2014|0|24377|22012
2013|0|24377|25698
2013|0|24377|22993
2011|0|24377|17892
2014|0|24377|31742
2014|0|24377|22786
2013|2|10053|22204
2012|2|2962|1787
None|0|24377|23142
2014|0|24377|14196
2013|0|24377|28436
2014|0|24377|25650
