2009|57|4370|18716
2007|45|15018|17300
2012|21|14984|18772
2006|9|12211|29807
2012|16|9127|27574
2011|8|10407|18436
2011|12|5417|31360
2012|10|11470|22316
2010|4|12522|19492
2013|7|12860|17317
2012|3|12895|17192
2007|2|1455|19149
2005|2|1730|7829
2013|5|3644|31615
2012|1|2546|28188
2004|1|4126|32283
2013|5|14520|22175
2014|5|13735|26579
None|4|14789|22231
2014|2|4443|29501
2013|0|24377|30390
2013|0|24377|22744
None|0|24377|31901
2014|0|24377|16147
2007|0|24377|22381
None|0|24377|19981
2014|0|24377|15851
2013|0|24377|31714
2014|2|13920|18005
2014|1|8033|24120
2013|2|2600|17998
None|0|24377|7769
None|0|24377|14866
