2012|32|6039|32596
2011|21|13375|26319
2012|20|3026|27194
2013|18|12241|6703
2009|10|12924|19095
2008|10|13251|27963
2013|24|4907|20548
2010|7|6386|15910
2012|10|3254|21854
2011|6|8346|26899
2012|6|14497|16074
2013|7|2823|6601
2012|4|11829|21664
2010|4|10518|31824
2011|5|12446|23086
2012|3|4408|19506
2005|2|11366|27238
2013|3|5539|18695
2014|4|2256|21324
2014|2|6986|31117
2008|1|9426|29500
2012|1|8483|11873
2012|1|8491|29892
2013|3|9332|29240
2008|1|6423|21777
2013|1|7252|25610
2010|1|12560|27764
2013|5|12838|18638
2014|0|24377|25743
2013|0|24377|28687
2014|0|24377|18860
None|0|24377|8849
None|0|24377|9789
None|0|24377|19158
2004|0|24377|20094
2014|0|24377|21223
2012|0|24377|31063
2014|0|24377|30184
2012|0|24377|26221
2014|0|24377|29964
None|0|24377|24629
2013|0|24377|21967
2013|0|24377|17451
2005|0|24377|18603
2013|2|5645|23846
2012|0|24377|7749
2049|0|24377|26687
