2011|155|601|25528
2010|67|7909|20814
2012|69|1015|26409
2012|46|3764|23422
2012|43|8447|27458
2011|28|13667|9832
2012|33|5294|11981
2013|35|10233|28100
2013|40|12839|19732
2012|26|6213|30883
2012|24|650|16978
2012|15|4641|18706
2013|18|1740|23674
2009|5|8641|24549
2013|20|12618|31662
2008|4|12317|26445
2014|10|1674|16430
2013|11|9656|30201
2013|2|4290|11030
2010|4|5512|20845
2013|4|13583|29467
2015|1|14563|8694
2014|5|7298|15451
None|0|24377|19004
None|0|24377|17338
2013|0|24377|188
2014|1|10692|16799
2013|0|24377|15810
2010|1|9507|21524
2014|0|24377|31067
2014|0|24377|17893
2014|0|24377|32582
2014|0|24377|17897
2013|11|5289|7841
2009|0|24377|22218
2012|0|24377|18198
None|0|24377|15729
2013|0|24377|14043
2009|0|24377|7699
