2008|79|4788|15404
2008|64|13543|20459
2011|32|10565|26015
2008|30|4006|21216
2009|28|3346|17344
2007|22|2918|171
2012|22|2521|18503
2008|18|9424|25758
2007|16|1724|17916
2010|14|2005|16783
2006|11|13547|27511
2006|8|11425|16848
2005|6|11650|18837
2008|6|11520|32223
2008|19|3428|21422
2010|7|2755|17441
2013|6|8984|11016
2007|4|11577|16236
2013|7|3436|30489
2013|4|10537|28819
2007|4|10466|24862
2013|4|9045|263
2012|4|7139|23366
2014|4|595|15
2012|5|11318|15392
2014|4|7062|18454
2012|3|1882|21542
2010|3|5942|26519
2014|5|1634|28776
2012|3|7188|26707
2009|2|13799|17571
2013|2|6513|24644
None|3|14377|8880
2014|1|10290|317
2013|2|7198|21971
2015|1|11167|22499
2012|2|988|29992
None|0|24377|20383
None|0|24377|28155
None|0|24377|30668
2011|0|24377|27603
None|0|24377|26154
None|0|24377|20210
2013|0|24377|28348
2014|0|24377|23170
2014|0|24377|20223
None|0|24377|22803
None|0|24377|23015
None|0|24377|22660
None|0|24377|19339
None|0|24377|26889
2013|0|24377|20932
None|0|24377|16755
None|0|24377|26190
2012|1|3637|7637
None|0|24377|20603
