2009|54|6270|25057
2010|30|12597|25851
2011|23|10163|15256
2008|18|4310|29968
2006|17|5965|16473
2011|17|5962|25588
2008|13|1884|8793
2010|12|12817|19853
2011|13|13452|22896
2012|10|13289|111
2012|12|1138|25888
2009|8|4053|16479
2010|9|10227|32007
2013|11|13514|20382
2011|7|12399|292
2007|5|445|55
2007|4|8073|26405
2008|4|945|25855
2007|4|8267|24534
2012|5|9534|17319
2013|7|7546|30436
2012|8|5490|192
2014|2|3300|17182
2013|3|2218|30325
2012|3|362|8801
2013|6|14398|27555
2013|3|1207|16975
2012|3|9106|27698
2013|2|9515|27995
2014|1|3238|26215
2014|1|12361|30969
2011|1|13826|22357
2010|1|12916|21169
None|0|24377|19733
2014|0|24377|27638
2014|0|24377|27668
2011|0|24377|25479
None|1|12664|20573
None|0|24377|21930
None|0|24377|29673
2014|0|24377|25115
2014|0|24377|14216
2010|0|24377|22263
2010|0|24377|30178
2012|0|24377|26385
None|0|24377|21029
None|0|24377|31671
None|0|24377|16602
2010|0|24377|26830
2006|0|24377|31791
