2011|18|6544|28459
2011|15|1177|7815
2012|27|6126|16296
2012|12|5538|20368
2012|12|4132|22473
2011|9|11262|23157
2009|13|5335|31728
2012|9|4826|24404
2012|4|12159|23224
2010|2|3576|23469
2013|5|3644|31615
2010|2|6412|31316
2008|6|13824|30419
2012|1|2546|28188
2013|1|4350|32401
None|4|3422|28307
2014|1|11158|31105
2014|1|1591|24262
2012|2|4473|19921
2014|1|7038|9864
2013|3|14452|16717
2011|1|3190|10866
None|0|24377|25723
None|1|12776|23498
None|0|24377|29891
2014|0|24377|32
2012|0|24377|19400
None|0|24377|23971
2009|0|24377|29598
2011|0|24377|24743
None|0|24377|21434
2011|0|24377|7761
2011|0|24377|20898
2012|0|24377|28583
2014|0|24377|20829
2013|2|14416|15966
2013|0|24377|28160
None|0|24377|18368
2014|0|24377|32285
2012|0|24377|16821
None|0|24377|27319
2010|0|24377|30660
