2010|122|11755|19245
2010|134|14481|29622
2012|132|5857|26945
2011|83|8268|12071
2009|59|8089|31687
2009|32|1048|26790
2009|26|10205|23145
2009|35|12811|28680
2010|25|7142|7778
2010|13|6288|6805
2009|14|10069|29183
2008|46|376|15511
2010|13|12822|24682
2010|13|7985|20741
2013|11|13684|25671
2010|7|7524|30116
2009|6|11766|16558
2011|9|2993|20027
2008|4|11817|18810
2011|6|2982|25405
2013|4|13223|16089
2006|6|3933|15809
2012|6|7607|30852
2013|3|9661|22861
2009|10|1149|16313
2013|4|10500|27323
2010|3|390|16145
2014|2|5991|26925
2010|3|10462|6819
2012|3|11761|25584
2013|2|1085|198
None|4|9429|200
2014|1|3711|19821
2013|1|3262|23791
2011|3|3585|18634
2009|1|4189|25597
2010|5|6433|23941
None|0|24377|29917
2013|0|24377|27112
None|0|24377|21126
2009|0|24377|29860
2009|0|24377|31368
2008|0|24377|29309
None|0|24377|15759
2014|2|3567|27541
None|0|24377|23670
2014|0|24377|14818
None|0|24377|15496
None|0|24377|8885
2015|0|24377|24472
None|0|24377|4640
None|0|24377|23719
None|2|10320|27780
2011|1|6269|28145
None|0|24377|32423
None|0|24377|31190
None|0|24377|24445
None|0|24377|14128
None|0|24377|23644
2009|0|24377|22551
None|0|24377|24813
None|0|24377|19063
