2011|99|12682|20328
2010|77|7406|30841
2010|70|3443|19276
2010|72|5419|10987
2012|44|531|20125
2011|28|7174|22886
2009|25|1641|21292
2010|19|6041|30392
2011|17|1412|18167
2010|16|5280|30701
2012|16|589|18822
2011|11|1792|31401
2012|10|14429|6754
2012|8|2351|22964
2011|6|1354|23321
2012|7|7476|11031
2013|11|8486|20601
2011|5|8557|26415
2011|6|9447|31147
2010|4|6283|16894
2012|6|9713|27180
2008|3|3404|15522
2011|3|7434|21502
2013|7|488|17229
2011|4|6887|18940
2014|3|5583|28178
2013|2|8469|10862
2010|1|11413|19727
2014|4|2160|31447
2012|1|10597|9986
2010|0|24377|18731
2009|0|24377|32107
2007|0|24377|20907
2011|0|24377|29919
2013|0|24377|24973
2011|0|24377|17416
2013|0|24377|15524
None|0|24377|32356
2014|0|24377|30910
2014|0|24377|26330
2011|0|24377|26245
None|0|24377|23774
2011|0|24377|13295
None|0|24377|17308
2014|5|10263|25643
None|0|24377|16830
