2011|45|7216|9812
2010|38|3588|7781
2009|22|14614|13089
2010|14|4234|15806
2009|14|2834|20656
2009|13|2226|7622
2011|15|5279|28736
2006|10|4743|22388
2011|10|4894|7663
2010|10|4247|141
2010|11|4010|32208
2007|7|5281|19367
2007|4|12730|18375
2013|3|10494|20990
2005|3|13496|26499
2012|4|2463|17347
2007|4|2904|28134
2008|3|11471|20162
2006|2|8092|10579
2014|2|12289|16663
2010|2|2862|17456
2013|2|3519|31886
2008|1|5271|25505
2013|1|10396|17115
2013|0|24377|6568
2014|5|10455|18606
2010|0|24377|24698
2013|0|24377|9215
2014|0|24377|29441
2012|0|24377|26862
2006|0|24377|9787
