2011|73|1344|18053
2007|63|5487|23129
2006|43|1536|26608
2009|42|13644|16100
2006|37|1110|31775
2005|30|8005|16904
2011|20|7350|25824
2011|18|14883|15141
2007|16|9501|16946
2010|21|6526|24224
2007|10|2172|13090
2012|9|8963|26969
2013|25|12625|13997
2012|10|1574|31019
2009|7|3226|22400
2013|9|7029|32551
2013|8|7091|22128
2010|6|3126|15617
2010|4|5856|20591
2013|6|4520|23577
2013|4|8591|29556
2012|3|1688|15280
2012|3|12285|30393
2000|3|2198|14008
2012|4|8970|26313
2011|2|9405|14012
2008|2|2570|18816
2013|2|1866|9979
2007|3|8985|28156
None|3|3204|32067
2013|0|24377|24788
2012|0|24377|31417
None|0|24377|16645
2013|0|24377|112
2013|0|24377|23932
2013|0|24377|14160
2012|0|24377|17004
2012|0|24377|26946
2013|1|11551|16353
2014|0|24377|22478
2014|0|24377|22622
2014|2|9178|15603
2013|0|24377|18671
2013|0|24377|16333
2012|0|24377|15856
None|0|24377|28701
2013|0|24377|11190
2013|0|24377|20350
2012|0|24377|21270
2012|0|24377|30062
None|0|24377|20867
2011|1|12448|19120
None|0|24377|20587
