researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10
,2 citations* for all,26 citations*,0 citations*,1 citations*,64 citations*,2 citations* for all,,,18
,2 citations*,13 citations*,139 citations* for all,1 citations*,20 citations*,2 citations*,,,18
,0 citations*,1 citations* for all,121 citations*,4 citations* for all,4 citations*,0 citations*,,,17
,0 citations* for all,0 citations*,18 citations*,2 citations*,69 citations* for all,5 citations*,,,17
,0 citations*,1 citations*,77 citations* for all,2 citations*,69 citations*,0 citations*,,,17
,0 citations*,29 citations*,55 citations*,22 citations*,0 citations*,0 citations* for all,,,17
,1 citations*,8 citations*,22 citations*,3 citations*,21 citations* for all,0 citations*,,,17
,1 citations*,3 citations*,19 citations*,14 citations*,10 citations*,0 citations*,,,16
,31 citations*,10 citations*,121 citations* for all,13 citations* for all,11 citations*,3 citations*,,,16
,1 citations* for all,28 citations*,6 citations*,13 citations*,26 citations*,1 citations*,,,16
,1 citations*,21 citations*,115 citations*,0 citations*,49 citations* for all,0 citations*,,,16
,0 citations*,30 citations*,85 citations* for all,12 citations*,40 citations*,4 citations*,,,16
,1 citations* for all,13 citations*,46 citations*,6 citations*,9 citations*,2 citations*,,,15
,1 citations*,6 citations*,39 citations*,2 citations* for all,11 citations*,0 citations*,,,15
,0 citations*,20 citations*,82 citations* for all,2 citations*,13 citations* for all,0 citations*,,,15
,62 citations*,12 citations*,31 citations*,0 citations*,13 citations*,0 citations*,,,14
,14 citations*,0 citations*,51 citations*,8 citations* for all,0 citations*,0 citations*,,,14
,1 citations*,13 citations*,82 citations* for all,4 citations*,13 citations* for all,1 citations*,,,13
,3 citations*,15 citations*,31 citations*,4 citations*,13 citations*,1 citations*,,,13
,3 citations*,33 citations*,51 citations*,8 citations* for all,0 citations*,1 citations*,,,13
,1 citations* for all,1 citations*,99 citations*,4 citations*,78 citations*,1 citations*,,,13
,1 citations*,0 citations*,64 citations* for all,4 citations*,54 citations*,0 citations*,,,12
,0 citations*,18 citations*,22 citations*,2 citations*,22 citations*,11 citations*,,,12
,24 citations*,6 citations*,42 citations*,6 citations* for all,0 citations*,,,,12
,2 citations* for all,11 citations*,78 citations*,4 citations*,64 citations*,,,,12
,2 citations*,4 citations*,91 citations* for all,2 citations*,15 citations*,,,,12
,0 citations*,0 citations*,16 citations*,16 citations* for all,18 citations*,,,,12
,2 citations* for all,10 citations*,75 citations*,16 citations*,11 citations*,,,,12
,2 citations*,7 citations*,88 citations*,0 citations*,16 citations*,,,,11
,0 citations*,4 citations*,120 citations* for all,8 citations* for all,5 citations*,,,,11
,24 citations*,21 citations*,119 citations*,8 citations*,16 citations* for all,,,,11
,2 citations*,18 citations*,1 citations*,0 citations*,7 citations*,,,,11
,17 citations*,58 citations*,124 citations*,3 citations* for all,9 citations*,,,,11
,28 citations* for all,8 citations* for all,28 citations* for all,3 citations*,24 citations*,,,,10
,20 citations*,4 citations*,14 citations*,0 citations*,7 citations* for all,,,,10
,8 citations*,4 citations*,14 citations*,1 citations* for all,1 citations*,,,,10
,26 citations*,8 citations*,74 citations* for all,1 citations*,5 citations*,,,,10
,15 citations*,1 citations*,66 citations*,0 citations*,1 citations*,,,,10
,12 citations*,4 citations*,8 citations*,0 citations*,4 citations*,,,,10
,5 citations*,6 citations*,69 citations* for all,2 citations* for all,5 citations* for all,,,,10
,3 citations*,3 citations*,69 citations*,2 citations*,2 citations*,,,,9
,15 citations*,16 citations*,0 citations*,0 citations*,3 citations*,,,,9
,25 citations*,11 citations*,60 citations* for all,1 citations*,10 citations*,,,,8
,13 citations*,19 citations*,24 citations*,1 citations*,16 citations*,,,,8
,17 citations*,4 citations*,36 citations*,8 citations*,12 citations*,,,,8
,2 citations*,11 citations*,78 citations* for all,0 citations*,27 citations*,,,,8
,2 citations*,11 citations*,47 citations*,2 citations*,8 citations*,,,,8
,11 citations*,3 citations*,31 citations*,0 citations*,22 citations*,,,,8
,14 citations*,12 citations*,78 citations* for all,0 citations*,19 citations* for all,,,,8
,0 citations*,5 citations*,47 citations*,0 citations*,19 citations*,,,,8
,0 citations*,3 citations*,31 citations*,1 citations*,0 citations*,,,,7
,5 citations*,1 citations*,49 citations* for all,0 citations*,12 citations*,,,,7
,1 citations*,0 citations*,23 citations*,3 citations*,10 citations* for all,,,,7
,2 citations*,5 citations*,26 citations*,,9 citations*,,,,7
,5 citations*,2 citations* for all,93 citations*,,1 citations*,,,,7
,3 citations*,1 citations*,55 citations*,,10 citations* for all,,,,7
,8 citations*,1 citations*,73 citations* for all,,9 citations*,,,,6
,10 citations*,4 citations*,13 citations*,,1 citations*,,,,6
,7 citations*,12 citations*,60 citations*,,20 citations*,,,,6
,9 citations*,3 citations*,25 citations* for all,,12 citations*,,,,6
,7 citations*,0 citations* for all,10 citations*,,13 citations*,,,,6
,1 citations*,0 citations*,15 citations*,,27 citations*,,,,6
,0 citations*,0 citations*,23 citations* for all,,11 citations* for all,,,,6
,3 citations*,13 citations*,8 citations*,,5 citations*,,,,5
,2 citations*,14 citations*,15 citations*,,6 citations*,,,,5
,3 citations*,11 citations*,23 citations* for all,,5 citations* for all,,,,5
,0 citations*,10 citations*,8 citations*,,2 citations*,,,,5
,2 citations*,1 citations*,15 citations*,,3 citations*,,,,5
,2 citations*,14 citations*,87 citations*,,19 citations*,,,,5
,1 citations*,7 citations*,26 citations*,,22 citations* for all,,,,5
,2 citations*,91 citations*,20 citations* for all,,20 citations*,,,,4
,0 citations*,9 citations*,11 citations*,,2 citations*,,,,4
,0 citations*,5 citations*,9 citations*,,7 citations* for all,,,,4
,0 citations*,6 citations*,161 citations*,,6 citations*,,,,4
,0 citations*,11 citations*,28 citations* for all,,1 citations*,,,,4
,0 citations*,2 citations*,19 citations*,,21 citations*,,,,4
,0 citations*,8 citations*,9 citations*,,5 citations* for all,,,,4
,0 citations*,9 citations*,8 citations* for all,,2 citations*,,,,4
,,0 citations*,1 citations*,,3 citations*,,,,3
,,1 citations*,7 citations*,,2 citations*,,,,3
,,14 citations*,25 citations* for all,,15 citations*,,,,3
,,0 citations*,3 citations*,,0 citations*,,,,3
,,4 citations*,22 citations*,,53 citations*,,,,3
,,7 citations*,80 citations*,,5 citations*,,,,3
,,1 citations*,3 citations* for all,,17 citations* for all,,,,2
,,10 citations*,2 citations*,,14 citations*,,,,2
,,9 citations*,1 citations*,,3 citations*,,,,2
,,0 citations*,76 citations*,,1 citations*,,,,2
,,10 citations*,26 citations* for all,,19 citations* for all,,,,2
,,13 citations*,9 citations*,,19 citations*,,,,2
,,1 citations*,17 citations*,,0 citations*,,,,2
,,2 citations*,16 citations* for all,,5 citations*,,,,2
,,6 citations*,16 citations*,,8 citations* for all,,,,2
,,4 citations*,0 citations*,,7 citations*,,,,2
,,11 citations*,11 citations* for all,,1 citations*,,,,2
,,8 citations*,8 citations*,,9 citations*,,,,2
,,0 citations*,3 citations*,,60 citations*,,,,2
,,2 citations*,29 citations*,,10 citations*,,,,2
,,0 citations*,16 citations*,,2 citations*,,,,1
,,1 citations*,18 citations* for all,,1 citations* for all,,,,1
,,6 citations*,18 citations*,,0 citations*,,,,1
,,7 citations*,0 citations*,,1 citations*,,,,1
,,0 citations*,54 citations*,,4 citations*,,,,1
,,8 citations*,22 citations* for all,,9 citations*,,,,1
,,1 citations*,7 citations*,,1 citations* for all,,,,1
,,10 citations*,15 citations*,,0 citations*,,,,1
,,0 citations*,22 citations* for all,,1 citations*,,,,1
,,10 citations*,4 citations*,,3 citations* for all,,,,1
,,4 citations*,18 citations*,,1 citations*,,,,1
,,5 citations*,22 citations* for all,,2 citations*,,,,1
,,0 citations*,4 citations*,,18 citations*,,,,1
,,9 citations*,18 citations*,,21 citations*,,,,0
,,0 citations* for all,61 citations*,,13 citations*,,,,0
,,0 citations*,12 citations* for all,,22 citations*,,,,0
,,0 citations*,8 citations*,,1 citations*,,,,0
,,4 citations*,4 citations*,,4 citations*,,,,0
,,0 citations*,12 citations* for all,,1 citations*,,,,0
,,4 citations*,12 citations*,,5 citations*,,,,0
,,4 citations*,0 citations*,,4 citations*,,,,0
,,2 citations*,2 citations* for all,,10 citations*,,,,0
,,7 citations*,1 citations*,,6 citations*,,,,0
,,4 citations*,1 citations*,,15 citations*,,,,0
,,4 citations*,1 citations* for all,,1 citations*,,,,0
,,1 citations*,1 citations*,,2 citations*,,,,0
,,3 citations*,0 citations*,,1 citations*,,,,0
,,3 citations*,4 citations* for all,,15 citations*,,,,0
,,1 citations*,1 citations*,,1 citations*,,,,0
,,2 citations*,3 citations*,,3 citations* for all,,,,0
,,1 citations*,6 citations* for all,,0 citations*,,,,0
,,3 citations*,5 citations*,,3 citations*,,,,0
,,2 citations*,1 citations*,,3 citations* for all,,,,0
,,2 citations*,5 citations* for all,,0 citations*,,,,0
,,1 citations*,3 citations*,,3 citations*,,,,0
,,1 citations*,2 citations*,,1 citations*,,,,0
,,1 citations*,25 citations*,,0 citations*,,,,0
,,13 citations*,1 citations* for all,,1 citations*,,,,0
,,2 citations*,0 citations*,,0 citations*,,,,0
,,0 citations*,1 citations*,,2 citations*,,,,0
,,4 citations*,2 citations* for all,,0 citations*,,,,0
,,1 citations*,2 citations*,,0 citations* for all,,,,0
,,2 citations*,0 citations*,,0 citations*,,,,0
,,1 citations*,2 citations* for all,,0 citations*,,,,0
,,3 citations*,2 citations*,,1 citations*,,,,0
,,0 citations*,0 citations*,,4 citations*,,,,0
,,1 citations*,10 citations*,,0 citations*,,,,0
,,6 citations*,5 citations* for all,,0 citations*,,,,0
,,1 citations*,4 citations*,,1 citations*,,,,0
,,1 citations*,1 citations*,,10 citations*,,,,0
,,6 citations*,24 citations*,,9 citations*,,,,0
,,1 citations*,3 citations*,,4 citations* for all,,,,0
,,1 citations*,0 citations*,,4 citations*,,,,0
,,0 citations*,7 citations*,,0 citations*,,,,0
,,3 citations*,5 citations*,,6 citations*,,,,0
,,0 citations*,12 citations*,,19 citations*,,,,0
,,1 citations*,2 citations*,,3 citations*,,,,0
,,2 citations*,1 citations*,,10 citations* for all,,,,0
,,2 citations*,14 citations*,,10 citations*,,,,
,,2 citations*,0 citations*,,0 citations*,,,,
,,0 citations*,0 citations*,,4 citations*,,,,
,,2 citations*,0 citations*,,6 citations*,,,,
,,0 citations*,0 citations*,,0 citations*,,,,
,,0 citations*,0 citations*,,2 citations*,,,,
,,1 citations*,20 citations*,,1 citations*,,,,
,,0 citations*,0 citations*,,4 citations*,,,,
,,0 citations*,8 citations*,,0 citations*,,,,
,,0 citations*,0 citations*,,10 citations*,,,,
,,0 citations*,5 citations*,,4 citations*,,,,
,,0 citations*,2 citations*,,2 citations*,,,,
,,0 citations*,7 citations*,,0 citations*,,,,
,,0 citations*,0 citations*,,3 citations* for all,,,,
,,0 citations*,3 citations*,,3 citations*,,,,
,,0 citations*,5 citations*,,0 citations*,,,,
,,0 citations*,1 citations*,,2 citations*,,,,
,,0 citations*,0 citations*,,5 citations*,,,,
,,,8 citations*,,0 citations*,,,,
,,,0 citations*,,0 citations*,,,,
,,,5 citations*,,0 citations*,,,,
,,,2 citations*,,0 citations*,,,,
,,,7 citations*,,0 citations*,,,,
,,,0 citations*,,1 citations*,,,,
,,,3 citations*,,0 citations*,,,,
,,,5 citations*,,0 citations*,,,,
,,,1 citations*,,,,,,
,,,0 citations*,,,,,,
,,,0 citations*,,,,,,
,,,5 citations*,,,,,,
,,,3 citations*,,,,,,
,,,0 citations*,,,,,,
,,,0 citations*,,,,,,
,,,1 citations*,,,,,,
,,,0 citations*,,,,,,
,,,0 citations*,,,,,,
,,,0 citations*,,,,,,
,,,12 citations*,,,,,,
