researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10
25 citations*,492 citations*,234 citations*,"2,376 citations*",59 citations*,245 citations*,497 citations*,222 citations* for all,283,436
84 citations*,218 citations*,360 citations*,"1,898 citations*",88 citations* for all,190 citations*,349 citations*,156 citations*,268,328
77 citations*,94 citations* for all,278 citations*,"2,818 citations*",88 citations*,378 citations*,430 citations*,57 citations*,166,257
10 citations* for all,40 citations*,164 citations*,"1,895 citations*",0 citations*,158 citations*,142 citations* for all,9 citations*,119,216
5 citations*,54 citations*,80 citations* for all,"1,089 citations* for all",88 citations*,134 citations*,117 citations*,288 citations*,93,191
5 citations*,151 citations*,54 citations*,300 citations*,30 citations*,77 citations* for all,25 citations*,351 citations* for all,73,163
53 citations*,90 citations* for all,26 citations*,789 citations*,106 citations*,77 citations*,79 citations*,349 citations*,61,160
15 citations*,30 citations*,280 citations*,"1,492 citations*",34 citations*,0 citations*,100 citations* for all,2 citations*,60,153
9 citations*,60 citations*,58 citations* for all,741 citations* for all,39 citations* for all,201 citations*,79 citations*,287 citations* for all,56,119
79 citations*,74 citations*,56 citations*,675 citations*,11 citations*,99 citations*,21 citations*,270 citations*,45,110
14 citations*,15 citations* for all,2 citations*,42 citations*,28 citations*,127 citations*,148 citations* for all,17 citations*,40,105
8 citations*,8 citations*,112 citations*,19 citations*,11 citations*,184 citations* for all,1 citations*,187 citations*,38,96
63 citations*,7 citations*,66 citations*,"2,376 citations*",21 citations* for all,3 citations*,147 citations*,105 citations*,38,95
23 citations*,59 citations*,126 citations*,"1,898 citations*",8 citations*,181 citations*,52 citations* for all,112 citations* for all,28,93
2 citations*,137 citations*,27 citations* for all,"2,818 citations*",13 citations*,0 citations*,23 citations*,90 citations*,24,92
30 citations*,2 citations* for all,12 citations*,"1,895 citations*",55 citations* for all,216 citations* for all,29 citations*,22 citations*,23,89
18 citations*,2 citations*,15 citations*,"1,089 citations* for all",35 citations*,132 citations*,132 citations*,134 citations*,16,84
24 citations*,0 citations*,37 citations*,300 citations*,20 citations*,84 citations*,82 citations*,66 citations*,16,79
14 citations*,56 citations*,102 citations*,789 citations*,65 citations*,96 citations*,32 citations*,117 citations*,16,73
5 citations*,1 citations* for all,89 citations*,"1,492 citations*",21 citations* for all,192 citations*,52 citations*,120 citations*,15,72
11 citations*,1 citations*,123 citations* for all,741 citations* for all,12 citations*,205 citations* for all,30 citations*,27 citations* for all,14,69
10 citations*,0 citations*,94 citations*,675 citations*,9 citations*,202 citations*,62 citations*,27 citations*,13,69
6 citations*,1 citations* for all,29 citations*,42 citations*,34 citations* for all,3 citations*,39 citations* for all,0 citations*,12,67
15 citations*,0 citations*,78 citations*,19 citations*,20 citations*,0 citations*,26 citations*,226 citations* for all,11,67
2 citations*,1 citations*,70 citations*,424 citations* for all,14 citations*,125 citations*,13 citations*,112 citations*,11,66
16 citations*,1 citations* for all,62 citations*,399 citations*,21 citations* for all,115 citations*,64 citations*,113 citations*,10,66
8 citations*,1 citations*,68 citations*,25 citations*,16 citations*,158 citations* for all,23 citations*,1 citations*,9,64
10 citations*,0 citations*,32 citations*,247 citations* for all,5 citations*,135 citations*,60 citations*,226 citations* for all,8,62
3 citations*,1 citations* for all,28 citations*,242 citations*,21 citations* for all,23 citations*,12 citations*,112 citations*,7,62
2 citations*,1 citations*,61 citations*,5 citations*,16 citations*,120 citations*,77 citations*,113 citations*,7,59
2 citations*,0 citations*,30 citations*,362 citations*,5 citations*,112 citations*,21 citations*,1 citations*,6,59
0 citations*,52 citations* for all,68 citations*,221 citations* for all,7 citations* for all,100 citations*,11 citations* for all,142 citations*,5,59
9 citations*,8 citations*,17 citations*,98 citations*,7 citations*,121 citations* for all,9 citations*,23 citations*,4,58
13 citations*,44 citations*,14 citations* for all,123 citations*,0 citations*,115 citations*,2 citations*,31 citations*,3,57
0 citations*,73 citations*,0 citations*,250 citations*,12 citations* for all,6 citations*,18 citations*,33 citations*,2,54
3 citations*,37 citations* for all,14 citations*,328 citations*,12 citations*,0 citations*,27 citations* for all,26 citations*,1,54
2 citations*,16 citations*,14 citations* for all,158 citations* for all,0 citations*,96 citations* for all,27 citations*,14 citations*,1,51
9 citations* for all,21 citations*,0 citations*,65 citations*,3 citations*,96 citations*,0 citations*,73 citations*,0,51
8 citations*,17 citations*,14 citations*,93 citations*,15 citations* for all,0 citations*,27 citations* for all,118 citations*,0,48
1 citations*,19 citations*,82 citations*,183 citations* for all,10 citations*,142 citations*,27 citations*,22 citations*,0,47
2 citations*,21 citations* for all,15 citations*,64 citations*,5 citations*,65 citations* for all,0 citations*,64 citations*,0,47
0 citations*,17 citations*,94 citations*,119 citations*,26 citations* for all,2 citations*,15 citations*,15 citations*,0,46
3 citations*,4 citations*,27 citations*,136 citations*,20 citations*,63 citations*,18 citations*,24 citations*,0,42
4 citations*,0 citations*,24 citations* for all,154 citations*,6 citations*,119 citations*,62 citations*,12 citations*,0,42
1 citations*,7 citations*,6 citations*,208 citations* for all,9 citations*,98 citations*,28 citations* for all,63 citations*,,40
4 citations*,104 citations*,18 citations*,134 citations*,10 citations* for all,42 citations*,28 citations*,10 citations*,,39
5 citations*,3 citations*,32 citations*,74 citations*,10 citations*,100 citations*,0 citations*,19 citations*,,39
3 citations*,6 citations*,32 citations*,314 citations*,0 citations*,29 citations*,6 citations* for all,9 citations*,,35
2 citations*,17 citations*,26 citations*,149 citations*,50 citations* for all,66 citations* for all,6 citations*,22 citations*,,34
2 citations*,22 citations* for all,9 citations*,267 citations*,47 citations*,66 citations*,0 citations*,4 citations*,,32
0 citations*,12 citations*,8 citations*,154 citations* for all,3 citations*,0 citations*,11 citations* for all,2 citations*,,32
3 citations*,10 citations*,74 citations*,120 citations*,11 citations* for all,31 citations*,9 citations*,10 citations*,,32
0 citations*,12 citations* for all,2 citations*,34 citations*,3 citations*,38 citations*,2 citations*,1 citations*,,31
0 citations*,3 citations*,2 citations*,116 citations* for all,8 citations*,54 citations*,14 citations*,15 citations*,,31
2 citations*,9 citations*,32 citations*,28 citations*,12 citations*,88 citations*,7 citations*,4 citations* for all,,30
2 citations*,17 citations* for all,6 citations*,88 citations*,12 citations* for all,55 citations*,0 citations*,0 citations*,,30
0 citations*,7 citations*,29 citations*,154 citations* for all,7 citations*,28 citations*,9 citations*,4 citations*,,30
0 citations*,10 citations*,51 citations*,120 citations*,5 citations*,95 citations*,21 citations*,8 citations*,,30
,10 citations* for all,65 citations*,34 citations*,9 citations*,89 citations*,11 citations*,2 citations* for all,,29
,8 citations*,9 citations*,19 citations* for all,10 citations* for all,39 citations*,7 citations*,0 citations*,,29
,2 citations*,8 citations*,11 citations*,10 citations*,42 citations* for all,14 citations*,2 citations*,,28
,20 citations* for all,11 citations*,8 citations*,0 citations*,13 citations*,5 citations*,16 citations*,,27
,20 citations*,34 citations*,125 citations* for all,50 citations* for all,29 citations*,20 citations*,10 citations*,,27
,0 citations*,16 citations*,49 citations*,47 citations*,17 citations*,3 citations*,12 citations* for all,,25
,0 citations*,4 citations*,76 citations*,3 citations*,30 citations*,10 citations*,7 citations*,,25
,4 citations*,10 citations* for all,233 citations*,11 citations* for all,20 citations*,10 citations*,5 citations*,,25
,4 citations* for all,10 citations*,388 citations*,3 citations*,77 citations*,19 citations*,1 citations*,,24
,2 citations*,0 citations*,146 citations*,8 citations*,11 citations* for all,16 citations*,3 citations*,,23
,2 citations*,6 citations* for all,231 citations*,12 citations*,11 citations*,13 citations*,5 citations*,,22
,3 citations*,1 citations*,195 citations* for all,12 citations* for all,0 citations*,6 citations*,4 citations*,,22
,1 citations*,5 citations*,90 citations*,7 citations*,54 citations*,3 citations*,0 citations*,,22
,0 citations*,7 citations*,105 citations*,5 citations*,33 citations*,3 citations*,0 citations*,,21
,1 citations*,13 citations*,59 citations* for all,12 citations* for all,68 citations* for all,2 citations*,3 citations*,,21
,1 citations*,32 citations*,52 citations*,11 citations*,65 citations*,2 citations*,0 citations*,,21
,0 citations*,64 citations* for all,7 citations*,1 citations*,3 citations*,4 citations*,1 citations*,,21
,0 citations*,64 citations*,253 citations* for all,4 citations*,118 citations*,8 citations*,1 citations*,,21
,0 citations*,0 citations*,167 citations*,12 citations*,54 citations*,9 citations* for all,1 citations*,,21
,0 citations*,4 citations*,86 citations*,10 citations*,43 citations*,9 citations*,2 citations*,,19
,4 citations*,57 citations*,143 citations*,2 citations*,25 citations* for all,0 citations*,4 citations*,,19
,2 citations*,10 citations*,129 citations* for all,12 citations* for all,21 citations*,1 citations*,0 citations*,,19
,0 citations*,54 citations*,129 citations*,11 citations*,4 citations*,2 citations*,0 citations*,,18
