researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10
3 citations*,70 citations* for all,19 citations*,,121 citations*,81 citations*,3 citations*,1 citations*,13 citations*,22
10 citations*,70 citations*,16 citations*,,166 citations*,572 citations*,22 citations*,7 citations*,0 citations*,22
14 citations*,0 citations*,22 citations*,,49 citations* for all,597 citations*,0 citations*,3 citations*,5 citations*,21
7 citations*,65 citations*,4 citations*,,33 citations*,277 citations* for all,16 citations*,0 citations*,6 citations*,21
10 citations* for all,114 citations* for all,14 citations*,,16 citations*,271 citations*,12 citations*,15 citations*,3 citations* for all,20
3 citations*,114 citations*,6 citations*,,66 citations*,6 citations*,23 citations*,1 citations*,2 citations*,18
7 citations*,0 citations*,19 citations*,,102 citations*,252 citations* for all,3 citations*,7 citations*,1 citations*,18
15 citations*,23 citations* for all,0 citations*,,167 citations*,137 citations*,9 citations*,2 citations*,1 citations*,18
2 citations*,23 citations*,0 citations*,,112 citations*,115 citations*,0 citations*,16 citations*,32 citations*,18
13 citations*,0 citations*,12 citations*,,103 citations*,"1,041 citations* for all",3 citations*,26 citations* for all,5 citations* for all,18
0 citations*,23 citations* for all,11 citations*,,195 citations*,346 citations*,0 citations*,0 citations*,3 citations*,17
20 citations*,23 citations*,54 citations*,,126 citations*,695 citations*,0 citations*,26 citations*,2 citations*,17
0 citations*,0 citations*,22 citations*,,111 citations*,"1,041 citations* for all",0 citations*,19 citations*,12 citations* for all,17
9 citations*,80 citations*,20 citations*,,107 citations*,346 citations*,1 citations*,1 citations*,5 citations*,15
0 citations*,24 citations* for all,25 citations*,,"1,742 citations*",695 citations*,1 citations*,21 citations*,7 citations*,15
0 citations*,24 citations*,11 citations*,,52 citations* for all,215 citations*,4 citations*,5 citations*,66 citations*,15
0 citations*,0 citations*,10 citations*,,39 citations*,350 citations*,0 citations*,8 citations*,14 citations*,14
21 citations*,64 citations* for all,7 citations*,,13 citations*,338 citations*,0 citations*,1 citations*,0 citations*,14
0 citations* for all,64 citations*,0 citations*,,75 citations* for all,498 citations* for all,0 citations*,1 citations*,20 citations*,14
0 citations*,0 citations*,10 citations*,,39 citations*,498 citations*,8 citations*,2 citations*,11 citations*,13
0 citations*,72 citations*,5 citations*,,36 citations*,0 citations*,0 citations*,10 citations*,10 citations*,12
4 citations*,121 citations*,6 citations*,,110 citations*,291 citations* for all,5 citations*,0 citations*,2 citations*,12
0 citations* for all,90 citations* for all,16 citations*,,88 citations* for all,90 citations*,8 citations*,0 citations*,13 citations*,12
0 citations*,7 citations*,3 citations*,,2 citations*,201 citations*,0 citations*,2 citations*,6 citations*,11
0 citations*,83 citations*,6 citations*,,86 citations*,336 citations*,1 citations*,1 citations*,17 citations*,11
2 citations*,76 citations*,12 citations*,,89 citations*,188 citations* for all,7 citations*,2 citations*,0 citations*,10
4 citations*,54 citations*,0 citations*,,120 citations*,131 citations*,4 citations*,0 citations*,27 citations*,10
9 citations* for all,68 citations* for all,11 citations*,,119 citations*,57 citations*,5 citations*,3 citations*,0 citations*,9
9 citations*,32 citations*,14 citations*,,39 citations* for all,188 citations* for all,1 citations*,11 citations*,1 citations* for all,9
0 citations*,32 citations*,6 citations*,,20 citations*,131 citations*,5 citations*,0 citations*,1 citations*,9
3 citations*,4 citations*,22 citations*,,19 citations*,57 citations*,16 citations*,0 citations*,0 citations*,9
0 citations*,64 citations*,4 citations*,,67 citations*,353 citations* for all,6 citations*,5 citations*,9 citations*,8
12 citations*,66 citations*,13 citations*,,78 citations*,150 citations*,10 citations*,4 citations*,0 citations*,8
1 citations*,64 citations*,3 citations*,,39 citations* for all,203 citations*,1 citations*,1 citations*,10 citations* for all,8
18 citations*,54 citations*,1 citations*,,33 citations*,263 citations*,6 citations*,0 citations*,6 citations*,8
20 citations*,72 citations*,6 citations*,,6 citations*,214 citations* for all,0 citations*,2 citations*,4 citations*,7
16 citations*,73 citations*,7 citations*,,60 citations*,169 citations*,4 citations*,1 citations*,10 citations* for all,7
39 citations*,89 citations*,6 citations*,,94 citations*,45 citations*,1 citations*,0 citations*,6 citations*,7
0 citations*,56 citations*,13 citations*,,66 citations*,266 citations* for all,0 citations*,3 citations*,4 citations*,7
8 citations*,21 citations*,10 citations*,,59 citations*,139 citations*,0 citations*,1 citations*,4 citations*,7
98 citations*,28 citations*,17 citations*,,80 citations*,127 citations*,0 citations*,2 citations*,9 citations* for all,7
18 citations*,31 citations*,3 citations*,,81 citations*,160 citations*,0 citations*,0 citations*,9 citations*,6
1 citations*,32 citations*,11 citations* for all,,54 citations*,280 citations*,0 citations*,1 citations*,0 citations*,6
10 citations*,51 citations*,11 citations*,,57 citations*,238 citations*,0 citations*,0 citations*,13 citations*,6
7 citations* for all,21 citations*,0 citations*,,72 citations*,229 citations* for all,0 citations*,0 citations*,0 citations*,6
3 citations*,77 citations*,13 citations*,,33 citations* for all,130 citations*,0 citations*,0 citations*,11 citations*,5
4 citations*,4 citations* for all,4 citations*,,16 citations*,99 citations*,0 citations*,0 citations*,0 citations*,4
2 citations*,1 citations*,4 citations*,,17 citations*,177 citations*,0 citations*,0 citations*,2 citations*,4
24 citations*,3 citations*,5 citations*,,112 citations*,355 citations* for all,0 citations*,,2 citations*,4
2 citations*,25 citations* for all,11 citations*,,56 citations*,337 citations*,,,9 citations*,4
1 citations*,21 citations*,2 citations*,,78 citations*,18 citations*,,,6 citations*,4
0 citations*,4 citations*,4 citations*,,56 citations*,798 citations*,,,15 citations*,4
7 citations*,2 citations*,10 citations*,,91 citations*,159 citations*,,,3 citations*,3
1 citations*,7 citations*,2 citations*,,93 citations*,193 citations* for all,,,17 citations*,3
0 citations*,73 citations*,9 citations*,,85 citations*,68 citations*,,,1 citations*,3
0 citations*,6 citations*,8 citations*,,29 citations*,125 citations*,,,4 citations*,3
3 citations*,26 citations*,4 citations*,,133 citations*,301 citations* for all,,,3 citations*,3
1 citations*,75 citations*,10 citations*,,83 citations*,292 citations*,,,16 citations*,3
1 citations*,13 citations*,4 citations*,,21 citations* for all,9 citations*,,,5 citations*,3
15 citations*,19 citations*,6 citations* for all,,20 citations*,339 citations*,,,3 citations*,2
22 citations*,10 citations* for all,6 citations*,,1 citations*,"1,048 citations* for all",,,6 citations*,2
5 citations*,10 citations*,0 citations*,,19 citations* for all,"1,048 citations*",,,2 citations*,2
0 citations*,0 citations*,6 citations* for all,,18 citations*,0 citations*,,,13 citations*,2
9 citations*,26 citations*,6 citations*,,1 citations*,229 citations* for all,,,0 citations*,2
2 citations*,18 citations*,0 citations*,,63 citations*,181 citations*,,,5 citations*,1
20 citations*,5 citations* for all,2 citations*,,69 citations*,48 citations*,,,6 citations*,1
6 citations*,3 citations*,1 citations*,,27 citations*,236 citations*,,,8 citations*,1
6 citations*,2 citations*,4 citations*,,9 citations* for all,206 citations*,,,3 citations*,1
9 citations*,0 citations*,3 citations*,,5 citations*,281 citations*,,,3 citations*,1
4 citations*,85 citations*,2 citations*,,4 citations*,140 citations* for all,,,1 citations*,1
8 citations*,34 citations*,2 citations*,,29 citations*,140 citations*,,,0 citations*,1
0 citations*,15 citations*,1 citations*,,28 citations* for all,0 citations*,,,1 citations*,1
5 citations*,25 citations* for all,1 citations*,,18 citations*,94 citations*,,,1 citations*,1
16 citations*,15 citations*,0 citations*,,10 citations*,43 citations* for all,,,0 citations*,1
3 citations*,10 citations*,5 citations*,,56 citations*,4 citations*,,,0 citations*,1
9 citations*,83 citations*,1 citations*,,17 citations* for all,31 citations*,,,1 citations*,1
2 citations*,28 citations*,1 citations*,,8 citations*,8 citations*,,,2 citations*,1
1 citations*,30 citations*,4 citations*,,9 citations*,193 citations* for all,,,1 citations*,1
0 citations*,11 citations*,5 citations*,,81 citations*,45 citations*,,,0 citations*,1
1 citations*,41 citations* for all,1 citations*,,29 citations*,148 citations*,,,0 citations*,0
0 citations*,21 citations*,2 citations*,,36 citations*,90 citations* for all,,,1 citations*,0
0 citations*,20 citations*,0 citations*,,3 citations* for all,83 citations*,,,0 citations*,0
0 citations*,26 citations*,3 citations*,,1 citations*,7 citations*,,,1 citations*,0
2 citations*,30 citations*,7 citations*,,2 citations*,87 citations* for all,,,0 citations*,0
0 citations*,33 citations*,8 citations*,,7 citations* for all,33 citations*,,,0 citations*,0
,10 citations* for all,3 citations*,,7 citations*,54 citations*,,,0 citations*,0
,1 citations*,1 citations*,,0 citations*,133 citations*,,,0 citations*,0
,8 citations*,0 citations*,,65 citations*,176 citations*,,,1 citations*,0
,1 citations*,0 citations*,,62 citations*,199 citations*,,,0 citations*,0
,29 citations*,0 citations*,,19 citations* for all,161 citations* for all,,,0 citations*,0
,9 citations*,3 citations*,,17 citations*,109 citations*,,,,0
,15 citations*,0 citations*,,2 citations*,52 citations*,,,,0
,7 citations*,3 citations*,,21 citations* for all,152 citations* for all,,,,0
,3 citations*,2 citations*,,21 citations*,151 citations*,,,,0
,16 citations*,0 citations*,,0 citations*,1 citations*,,,,0
,24 citations*,0 citations*,,31 citations*,134 citations* for all,,,,0
,96 citations*,0 citations*,,25 citations* for all,128 citations*,,,,0
,33 citations*,3 citations*,,25 citations*,6 citations*,,,,0
,66 citations*,0 citations*,,0 citations*,134 citations* for all,,,,0
,7 citations*,1 citations*,,25 citations* for all,128 citations*,,,,0
,4 citations*,3 citations*,,25 citations*,6 citations*,,,,0
,12 citations* for all,2 citations*,,0 citations*,156 citations*,,,,0
,12 citations*,0 citations*,,1 citations* for all,156 citations*,,,,0
,0 citations*,2 citations*,,0 citations*,104 citations*,,,,0
,2 citations*,3 citations*,,1 citations*,150 citations*,,,,0
,9 citations*,3 citations*,,1 citations* for all,186 citations* for all,,,,0
,6 citations*,3 citations*,,1 citations*,186 citations*,,,,0
,11 citations*,2 citations*,,0 citations*,0 citations*,,,,0
,28 citations* for all,3 citations*,,31 citations* for all,35 citations* for all,,,,0
,28 citations*,1 citations*,,12 citations*,18 citations*,,,,0
,0 citations*,11 citations*,,19 citations*,17 citations*,,,,0
,9 citations*,4 citations*,,20 citations*,170 citations*,,,,0
