researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,74,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,72,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,72,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,71,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,5,71,
,,,8,,,,,,,0,,,,0,,,,,,,,,,,,,4,67,
,,,7,,,,,,,0,,,,0,,,,,,,,,,,,,4,67,
,,,7,,,,,,,0,,,,0,,,,,,,,,,,,,4,66,
,,,7,,,,,,,0,,,,0,,,,,,,,,,,,,4,66,
,,,7,,,,,,,0,,,,0,,,,,,,,,,,,,4,65,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,4,65,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,4,63,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,4,62,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,4,62,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,3,62,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,3,58,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,3,58,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,3,58,
,,,6,,,,,,,0,,,,0,,,,,,,,,,,,,3,57,
,,,5,,,,,,,0,,,,0,,,,,,,,,,,,,3,56,
,,,5,,,,,,,,,,,0,,,,,,,,,,,,,3,56,
,,,5,,,,,,,,,,,0,,,,,,,,,,,,,3,56,
,,,5,,,,,,,,,,,0,,,,,,,,,,,,,3,55,
,,,4,,,,,,,,,,,0,,,,,,,,,,,,,3,55,
,,,4,,,,,,,,,,,0,,,,,,,,,,,,,3,54,
,,,4,,,,,,,,,,,0,,,,,,,,,,,,,3,54,
,,,4,,,,,,,,,,,0,,,,,,,,,,,,,3,54,
,,,4,,,,,,,,,,,0,,,,,,,,,,,,,2,52,
,,,4,,,,,,,,,,,0,,,,,,,,,,,,,2,50,
,,,4,,,,,,,,,,,0,,,,,,,,,,,,,2,50,
,,,4,,,,,,,,,,,0,,,,,,,,,,,,,2,48,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,2,48,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,2,47,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,2,47,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,2,47,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,2,46,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,2,46,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,2,46,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,1,45,
,,,3,,,,,,,,,,,0,,,,,,,,,,,,,1,45,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,45,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,45,
,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,44,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,43,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,43,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,43,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,42,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,42,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,42,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,42,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,41,
,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,40,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,39,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,38,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,37,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,37,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,37,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,37,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,35,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,35,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,35,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,35,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,34,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,34,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,34,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,34,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,34,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,34,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,33,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,33,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,33,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,33,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,32,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,31,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,31,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,30,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,29,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,29,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,29,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,28,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,28,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,27,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,27,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,27,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,27,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,27,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,27,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,27,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,24,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,23,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,23,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,23,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,23,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,22,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,22,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,22,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,21,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,21,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,21,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,21,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,20,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,19,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,19,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,18,
,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
