researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10,researcher11,researcher12,researcher13,researcher14,researcher15,researcher16,researcher17,researcher18,researcher19,researcher20,researcher21,researcher22,researcher23,researcher24,researcher25,researcher26,researcher27,researcher28,researcher29,researcher30,researcher31,researcher32,researcher33,researcher34,researcher35,researcher36,researcher37,researcher38,researcher39,researcher40,researcher41,researcher42,researcher43,researcher44,researcher45,researcher46,researcher47,researcher48,researcher49,researcher50,researcher51,researcher52,researcher53,researcher54,researcher55,researcher56,researcher57,researcher58,researcher59,researcher60,researcher61,researcher62,researcher63,researcher64,researcher65,researcher66,researcher67,researcher68,researcher69,researcher70,researcher71,researcher72,researcher73,researcher74,researcher75,researcher76,researcher77,researcher78,researcher79,researcher80,researcher81,researcher82,researcher83,researcher84,researcher85,researcher86,researcher87,researcher88,researcher89,researcher90,researcher91,researcher92,researcher93,researcher94,researcher95,researcher96,researcher97,researcher98,researcher99,researcher100
19 citations*,69 citations*,4 citations*,20 citations*,3 citations*,19 citations*,15 citations*,7 citations*,5 citations*,31 citations*,18 citations*,17 citations*,0 citations*,155 citations*,3 citations*,104 citations*,10 citations* for all,19 citations*,1 citations*,2 citations*,1 citations*,4 citations*,0 citations*,97 citations*,86 citations*,134 citations*,28 citations*,2 citations*,8 citations*,0 citations*,0 citations*,8 citations*,62 citations*,4 citations*,131 citations*,15 citations*,2 citations*,14 citations*,14 citations*,2 citations*,,,,1 citations*,3 citations*,0 citations*,7 citations*,,0 citations*,0 citations*,2 citations*,6 citations*,15 citations*,3 citations*,0 citations*,5 citations* for all,2 citations*,213 citations* for all,70 citations*,404 citations*,0 citations*,1 citations*,153 citations*,,61 citations*,2 citations*,,,4 citations*,,,1 citations*,5 citations*,,0 citations*,,2 citations*,3 citations* for all,2 citations*,6 citations*,0 citations*,4 citations* for all,0 citations*,16 citations*,,,1 citations*,,0 citations*,,0 citations*,,4 citations*,,62 citations*,11 citations*,,1 citations*,1 citations*,14 citations*
67 citations*,13 citations*,1 citations*,53 citations*,4 citations*,24 citations*,2 citations*,12 citations*,59 citations*,15 citations*,70 citations*,8 citations*,0 citations*,69 citations* for all,5 citations*,64 citations*,10 citations*,22 citations*,0 citations*,24 citations*,53 citations*,8 citations*,24 citations*,13 citations*,71 citations*,145 citations*,19 citations*,9 citations*,0 citations*,54 citations*,3 citations*,7 citations*,4 citations*,65 citations*,131 citations*,13 citations*,2 citations*,4 citations*,1 citations*,0 citations*,,,,0 citations*,5 citations*,0 citations*,3 citations*,,3 citations*,7 citations*,4 citations*,6 citations*,107 citations*,0 citations*,1 citations*,5 citations*,132 citations*,213 citations*,188 citations*,246 citations*,7 citations*,2 citations*,519 citations*,,120 citations*,1 citations*,,,1 citations*,,,6 citations*,7 citations*,,0 citations*,,11 citations* for all,3 citations*,2 citations*,2 citations*,22 citations*,4 citations*,2 citations*,8 citations*,,,11 citations*,,1 citations*,,0 citations*,,3 citations*,,22 citations*,6 citations*,,2 citations*,13 citations*,18 citations*
190 citations*,33 citations*,7 citations*,29 citations*,1 citations*,102 citations*,92 citations*,608 citations*,9 citations*,20 citations*,7 citations*,0 citations*,0 citations*,68 citations*,5 citations*,78 citations*,0 citations*,0 citations*,4 citations*,87 citations*,26 citations*,0 citations*,7 citations*,53 citations*,140 citations*,136 citations*,61 citations*,2 citations*,50 citations*,28 citations*,1 citations*,10 citations*,16 citations*,10 citations*,174 citations*,52 citations*,7 citations*,7 citations*,14 citations*,0 citations*,,,,0 citations*,0 citations*,,12 citations*,,0 citations*,0 citations*,12 citations*,1 citations*,30 citations*,3 citations*,2 citations*,0 citations*,0 citations*,0 citations*,57 citations*,"2,279 citations*",7 citations*,1 citations*,28 citations*,,38 citations*,1 citations*,,,1 citations*,,,1 citations*,4 citations*,,0 citations*,,11 citations*,0 citations*,1 citations*,5 citations*,12 citations*,0 citations*,0 citations*,6 citations*,,,4 citations*,,0 citations*,,0 citations*,,5 citations*,,19 citations*,3 citations*,,3 citations*,1 citations*,8 citations*
156 citations*,10 citations*,14 citations*,6 citations*,2 citations*,16 citations*,4 citations*,20 citations*,15 citations*,5 citations*,17 citations*,10 citations*,0 citations*,1 citations*,3 citations*,100 citations*,4 citations* for all,20 citations*,0 citations*,7 citations*,21 citations*,16 citations*,6 citations*,19 citations*,123 citations*,116 citations*,22 citations*,17 citations*,11 citations*,91 citations*,1 citations*,19 citations*,15 citations*,60 citations*,14 citations*,16 citations*,14 citations*,7 citations*,0 citations*,1 citations*,,,,0 citations*,0 citations*,,21 citations*,,1 citations*,9 citations*,14 citations*,2 citations*,104 citations*,8 citations*,0 citations*,0 citations*,0 citations*,234 citations* for all,33 citations*,208 citations*,0 citations*,11 citations*,86 citations*,,107 citations*,1 citations*,,,0 citations*,,,2 citations*,2 citations* for all,,,,0 citations*,0 citations*,2 citations*,7 citations*,29 citations*,5 citations*,1 citations*,24 citations*,,,5 citations*,,0 citations*,,0 citations*,,6 citations*,,67 citations*,4 citations*,,2 citations*,0 citations*,7 citations*
127 citations*,17 citations*,30 citations*,11 citations*,0 citations*,7 citations*,1 citations*,7 citations*,28 citations*,23 citations*,14 citations*,0 citations*,0 citations*,72 citations*,4 citations*,111 citations*,4 citations*,21 citations*,7 citations*,7 citations*,30 citations*,3 citations*,4 citations* for all,10 citations*,60 citations*,123 citations*,11 citations*,1 citations*,3 citations*,72 citations*,2 citations*,0 citations*,10 citations*,178 citations*,229 citations*,12 citations*,23 citations*,1 citations*,9 citations*,1 citations*,,,,0 citations*,1 citations*,,4 citations*,,3 citations*,8 citations*,3 citations*,8 citations*,17 citations*,5 citations*,1 citations*,5 citations* for all,5 citations*,233 citations*,45 citations*,776 citations* for all,0 citations*,2 citations*,68 citations*,,22 citations*,1 citations*,,,2 citations*,,,2 citations*,2 citations*,,,,31 citations*,0 citations*,0 citations*,2 citations*,5 citations*,11 citations*,2 citations*,15 citations*,,,4 citations*,,0 citations*,,0 citations*,,5 citations*,,18 citations*,1 citations*,,0 citations*,1 citations*,14 citations*
92 citations*,25 citations*,53 citations*,30 citations*,1 citations*,32 citations*,15 citations*,15 citations*,20 citations*,21 citations*,13 citations*,1 citations* for all,0 citations*,87 citations* for all,1 citations*,1 citations*,0 citations*,20 citations*,9 citations*,7 citations*,1 citations*,0 citations*,3 citations*,57 citations*,8 citations*,32 citations*,23 citations*,1 citations* for all,4 citations*,10 citations*,0 citations*,64 citations*,9 citations*,15 citations*,84 citations*,23 citations*,6 citations*,2 citations*,0 citations*,1 citations*,,,,0 citations*,0 citations*,,17 citations*,,0 citations*,0 citations*,1 citations*,0 citations*,50 citations*,0 citations*,2 citations*,5 citations*,0 citations*,1 citations*,119 citations*,776 citations*,0 citations*,1 citations*,58 citations*,,2 citations*,1 citations*,,,2 citations*,,,6 citations*,0 citations*,,,,23 citations* for all,0 citations*,2 citations*,9 citations*,15 citations*,19 citations*,0 citations*,8 citations*,,,8 citations*,,0 citations*,,8 citations*,,0 citations*,,12 citations*,4 citations*,,0 citations*,0 citations*,12 citations*
86 citations*,17 citations*,3 citations*,13 citations*,0 citations*,60 citations*,11 citations*,6 citations*,21 citations*,15 citations*,16 citations*,0 citations*,0 citations*,86 citations*,0 citations*,88 citations*,70 citations*,18 citations*,0 citations*,9 citations*,35 citations*,1 citations*,1 citations*,11 citations*,5 citations*,66 citations*,7 citations*,0 citations*,19 citations*,71 citations*,0 citations*,13 citations*,15 citations*,12 citations*,110 citations*,22 citations*,0 citations*,13 citations*,1 citations*,63 citations*,,,,0 citations*,0 citations*,,21 citations*,,2 citations*,0 citations*,82 citations*,2 citations*,28 citations*,0 citations*,0 citations*,0 citations*,123 citations*,111 citations*,6 citations*,0 citations*,3 citations*,2 citations*,13 citations*,,115 citations*,0 citations*,,,2 citations*,,,6 citations*,3 citations*,,,,23 citations*,1 citations*,2 citations*,7 citations*,85 citations*,10 citations*,0 citations*,10 citations*,,,13 citations*,,0 citations*,,1 citations*,,0 citations*,,25 citations*,4 citations*,,0 citations*,1 citations*,13 citations*
25 citations*,14 citations*,0 citations*,20 citations*,0 citations*,20 citations*,2 citations*,5 citations*,26 citations*,15 citations*,69 citations*,1 citations*,1 citations*,1 citations*,7 citations*,86 citations*,30 citations*,27 citations*,6 citations*,8 citations*,97 citations*,61 citations*,14 citations*,18 citations*,68 citations*,134 citations*,77 citations*,1 citations*,4 citations*,28 citations*,0 citations*,10 citations*,11 citations*,214 citations*,149 citations*,22 citations*,8 citations*,9 citations*,2 citations*,0 citations*,,,,0 citations*,0 citations*,,3 citations*,,2 citations*,0 citations*,5 citations*,1 citations*,12 citations*,3 citations*,0 citations*,2 citations*,11 citations*,207 citations* for all,19 citations*,734 citations*,5 citations*,1 citations*,59 citations*,,133 citations*,1 citations*,,,0 citations*,,,25 citations*,2 citations*,,,,0 citations*,3 citations*,2 citations*,6 citations*,12 citations*,8 citations* for all,0 citations*,2 citations*,,,7 citations*,,0 citations*,,1 citations*,,2 citations*,,12 citations*,2 citations*,,0 citations*,2 citations*,4 citations*
32 citations*,11 citations*,0 citations*,8 citations*,3 citations*,54 citations*,4 citations*,9 citations*,10 citations*,60 citations*,19 citations*,4 citations*,,78 citations*,3 citations*,68 citations*,19 citations*,19 citations*,3 citations*,14 citations*,13 citations*,2 citations*,118 citations*,74 citations*,8 citations*,75 citations*,6 citations*,4 citations*,10 citations*,61 citations*,6 citations* for all,10 citations*,13 citations*,9 citations*,116 citations*,22 citations*,6 citations*,1 citations*,0 citations*,6 citations*,,,,0 citations*,0 citations*,,14 citations*,,0 citations*,0 citations*,8 citations*,1 citations*,18 citations*,1 citations*,0 citations*,3 citations*,16 citations*,207 citations*,2 citations*,616 citations*,1 citations*,0 citations*,297 citations*,,0 citations*,1 citations*,,,0 citations*,,,1 citations*,4 citations*,,,,77 citations*,2 citations*,1 citations*,3 citations*,11 citations*,8 citations*,0 citations*,7 citations*,,,11 citations*,,0 citations*,,6 citations*,,3 citations*,,10 citations*,4 citations*,,0 citations*,5 citations*,2 citations*
71 citations*,51 citations*,1 citations*,14 citations*,8 citations*,19 citations*,14 citations*,12 citations*,24 citations*,19 citations*,3 citations*,4 citations*,,62 citations* for all,4 citations*,25 citations*,9 citations*,8 citations*,3 citations*,8 citations*,16 citations*,10 citations*,0 citations*,76 citations*,138 citations*,71 citations*,66 citations*,12 citations*,7 citations*,56 citations*,6 citations*,12 citations*,11 citations*,18 citations*,73 citations*,5 citations*,7 citations*,5 citations*,9 citations*,1 citations*,,,,,0 citations*,,16 citations*,,0 citations*,0 citations*,9 citations*,0 citations*,19 citations*,5 citations*,1 citations*,1 citations*,5 citations*,0 citations*,186 citations*,466 citations*,2 citations*,3 citations*,120 citations*,,88 citations*,2 citations*,,,0 citations*,,,3 citations*,1 citations*,,,,270 citations*,1 citations*,0 citations*,11 citations*,11 citations*,0 citations*,0 citations*,7 citations*,,,11 citations*,,0 citations*,,1 citations*,,5 citations*,,13 citations*,3 citations*,,0 citations*,1 citations*,5 citations*
63 citations*,20 citations*,3 citations*,54 citations*,19 citations*,19 citations*,2 citations*,89 citations*,54 citations*,23 citations*,11 citations*,3 citations*,,62 citations*,5 citations*,90 citations*,59 citations*,4 citations*,0 citations*,15 citations*,88 citations*,12 citations*,13 citations*,15 citations*,170 citations*,74 citations*,14 citations*,0 citations*,76 citations*,87 citations*,0 citations*,13 citations*,11 citations*,64 citations*,133 citations*,11 citations*,3 citations*,7 citations*,5 citations*,4 citations*,,,,,0 citations*,,3 citations*,,0 citations*,1 citations*,1 citations*,3 citations*,20 citations*,4 citations*,0 citations*,1 citations*,87 citations*,588 citations*,72 citations*,"1,159 citations*",3 citations* for all,0 citations*,51 citations*,,35 citations*,1 citations*,,,0 citations*,,,4 citations*,2 citations*,,,,73 citations*,4 citations*,0 citations*,0 citations*,14 citations*,17 citations*,0 citations*,16 citations*,,,1 citations*,,,,14 citations*,,4 citations*,,68 citations*,5 citations*,,0 citations*,1 citations*,7 citations*
68 citations*,22 citations*,4 citations*,23 citations*,1 citations*,21 citations*,9 citations*,15 citations*,52 citations*,57 citations*,8 citations*,5 citations*,,0 citations*,5 citations*,65 citations*,9 citations*,16 citations*,8 citations*,6 citations*,15 citations*,3 citations*,13 citations*,14 citations*,53 citations*,150 citations*,11 citations*,3 citations*,7 citations*,26 citations*,0 citations*,7 citations*,9 citations*,134 citations*,205 citations*,4 citations*,1 citations*,1 citations*,4 citations*,0 citations*,,,,,0 citations*,,16 citations*,,,122 citations*,10 citations*,0 citations*,26 citations*,1 citations*,0 citations*,1 citations*,0 citations*,121 citations* for all,2 citations*,469 citations*,3 citations*,0 citations*,111 citations*,,3 citations*,0 citations*,,,0 citations*,,,5 citations*,4 citations*,,,,25 citations*,0 citations*,0 citations*,1 citations*,0 citations*,11 citations*,0 citations*,17 citations*,,,11 citations*,,,,5 citations* for all,,8 citations*,,11 citations*,7 citations*,,0 citations*,13 citations*,6 citations*
119 citations*,18 citations*,0 citations*,60 citations*,2 citations*,11 citations*,4 citations*,1 citations*,17 citations*,14 citations*,13 citations*,9 citations*,,23 citations* for all,2 citations*,122 citations*,18 citations*,13 citations*,1 citations*,4 citations*,0 citations*,7 citations*,65 citations*,6 citations*,273 citations*,13 citations*,0 citations*,6 citations*,14 citations*,127 citations*,0 citations*,8 citations*,16 citations*,30 citations*,106 citations*,13 citations*,7 citations*,2 citations*,0 citations*,0 citations*,,,,,0 citations*,,13 citations*,,,253 citations*,4 citations*,3 citations*,6 citations*,1 citations*,1 citations*,0 citations*,11 citations*,121 citations*,5 citations*,966 citations*,0 citations*,0 citations*,1 citations*,,16 citations*,0 citations*,,,1 citations*,,,5 citations*,8 citations*,,,,19 citations*,2 citations*,0 citations*,4 citations*,1 citations*,4 citations* for all,0 citations*,4 citations*,,,8 citations*,,,,4 citations*,,0 citations*,,19 citations*,2 citations*,,0 citations*,0 citations*,9 citations*
32 citations*,16 citations*,22 citations*,15 citations*,1 citations*,50 citations*,4 citations*,0 citations*,32 citations*,71 citations*,4 citations*,4 citations*,,21 citations*,1 citations*,70 citations*,98 citations*,6 citations*,0 citations*,16 citations*,15 citations*,1 citations*,0 citations*,7 citations*,89 citations*,97 citations*,7 citations*,5 citations*,13 citations*,4 citations*,,15 citations*,8 citations*,9 citations*,78 citations*,8 citations*,0 citations*,9 citations*,7 citations*,13 citations*,,,,,,,9 citations*,,,0 citations*,6 citations*,2 citations*,24 citations*,3 citations*,0 citations*,0 citations*,0 citations*,0 citations*,282 citations*,775 citations*,1 citations*,2 citations*,55 citations*,,169 citations*,0 citations*,,,0 citations*,,,3 citations*,0 citations*,,,,17 citations*,0 citations*,0 citations*,0 citations*,11 citations*,4 citations*,0 citations*,13 citations*,,,1 citations*,,,,1 citations*,,4 citations*,,11 citations*,4 citations*,,0 citations*,0 citations*,8 citations*
28 citations*,22 citations*,0 citations*,9 citations*,1 citations*,27 citations*,13 citations*,26 citations*,131 citations*,36 citations*,11 citations*,2 citations*,,2 citations*,0 citations*,29 citations*,16 citations*,21 citations*,1 citations*,11 citations*,11 citations*,3 citations*,9 citations*,62 citations*,60 citations*,127 citations*,14 citations*,0 citations*,20 citations*,71 citations*,,15 citations*,6 citations*,39 citations*,113 citations*,19 citations*,0 citations*,12 citations*,5 citations*,0 citations*,,,,,,,4 citations*,,,1 citations*,1 citations*,1 citations*,12 citations*,4 citations*,,0 citations*,30 citations*,121 citations* for all,0 citations*,294 citations*,7 citations*,0 citations*,121 citations*,,3 citations*,2 citations*,,,0 citations*,,,2 citations*,7 citations*,,,,28 citations*,0 citations*,0 citations*,1 citations*,11 citations*,0 citations*,2 citations*,0 citations*,,,3 citations*,,,,11 citations*,,5 citations*,,30 citations*,1 citations*,,2 citations*,,7 citations*
